corp_id,corp_name,body_id,body_name,staffing_pct
46799,"Exoar-Exoex Enterprises",15124,"Huhaidar",74.8904
46800,"Corix Industries",15124,"Huhaidar",74.8904
46801,"Calyx Industries",15124,"Huhaidar",74.8904
46802,"FararAthar Holdings",15124,"Huhaidar",74.8904
46803,"CalonIntus-PaxisAthen Ventures",15124,"Huhaidar",74.8904
46804,"Genom Systems",15124,"Huhaidar",74.8904
46805,"Terel-Coron Holdings",15124,"Huhaidar",74.8904
51022,"Nexis Logistics",15124,"Huhaidar",74.8904
51025,"Lukuk Resources",15124,"Huhaidar",74.8904
51028,"YelorCalur Operations",15124,"Huhaidar",74.8904
51031,"Orban-GenenOrbos Resources",15124,"Huhaidar",74.8904
51035,"HexyxCorix-CalosFaran Enterprises",15124,"Huhaidar",74.8904
51038,"Nexos-Calel Logistics",15124,"Huhaidar",74.8904
51042,"Ruzumz Enterprises",15124,"Huhaidar",74.8904
51046,"BorosGenan-Zenom Industries",15124,"Huhaidar",74.8904
51049,"Sualak Systems",15124,"Huhaidar",74.8904
51053,"CoraxCoros Operations",15124,"Huhaidar",74.8904
51057,"Maikka Processing Group",15124,"Huhaidar",74.8904
51061,"Tei Extraction Co.",15124,"Huhaidar",74.8904
51065,"Dynan Resources",15124,"Huhaidar",74.8904
51068,"Luxan Industries",15124,"Huhaidar",74.8904
51071,"JorenRexax Enterprises",15124,"Huhaidar",74.8904
51075,"Rexar Dynamics",15124,"Huhaidar",74.8904
51078,"PaxonNexen Enterprises",15124,"Huhaidar",74.8904
51082,"Zenus-Orbon Operations",15124,"Huhaidar",74.8904
51086,"Roteit Logistics",15124,"Huhaidar",74.8904
51090,"He Holdings",15124,"Huhaidar",74.8904
