market_id,market_label,body_id,body_name,resource,supply,demand,price,base_price
48698,"Huhaidar",15124,"Huhaidar",Iron Ore,42.521,0,0.625029,2.5
48698,"Huhaidar",15124,"Huhaidar",Coal,0,0,2,2
48698,"Huhaidar",15124,"Huhaidar",Petroleum,0,0,3.49972,3.5
48698,"Huhaidar",15124,"Huhaidar",Silica,0,0,1.90627,2
48698,"Huhaidar",15124,"Huhaidar",Copper Ore,28.2024,0,0.750034,3
48698,"Huhaidar",15124,"Huhaidar",Rare Earth Ore,0,0,5.71882,6
48698,"Huhaidar",15124,"Huhaidar",Agricultural Produce,1.15835,24.5869,10.8055,3
48698,"Huhaidar",15124,"Huhaidar",Water,40.3807,60.6701,1.83863,1.5
48698,"Huhaidar",15124,"Huhaidar",Iron-Nickel Ore,0,0,3,3
48698,"Huhaidar",15124,"Huhaidar",Platinum Group,0,0,40,40
48698,"Huhaidar",15124,"Huhaidar",Regolith,0,0,0.6,0.6
48698,"Huhaidar",15124,"Huhaidar",Stone,3.73077,24.7333,2.38327,1
48698,"Huhaidar",15124,"Huhaidar",Timber,0,55.0333,14.9978,1.5
48698,"Huhaidar",15124,"Huhaidar",Sand,0,0,1,1
48698,"Huhaidar",15124,"Huhaidar",Clay,0.337066,2.66667,3.18427,1.2
48698,"Huhaidar",15124,"Huhaidar",Peat,0,0,0.750055,1.2
48698,"Huhaidar",15124,"Huhaidar",Tobacco,0,0,2.46968,2.46968
48698,"Huhaidar",15124,"Huhaidar",Spices,0,0,2.9816,2.9816
48698,"Huhaidar",15124,"Huhaidar",Coffee,0,0,6.95498,6.95498
48698,"Huhaidar",15124,"Huhaidar",Steel,0,8.75,44.518,8
48698,"Huhaidar",15124,"Huhaidar",Refined Fuel,0,0,9.99989,10
48698,"Huhaidar",15124,"Huhaidar",Food Rations,1.2,42.8401,35.8516,6
48698,"Huhaidar",15124,"Huhaidar",Charcoal,0,21.42,39.9995,4
48698,"Huhaidar",15124,"Huhaidar",Iron Blooms,0,0,9,9
48698,"Huhaidar",15124,"Huhaidar",Trade Goods,0,0,8,8
48698,"Huhaidar",15124,"Huhaidar",Silicon,0,0,5,5
48698,"Huhaidar",15124,"Huhaidar",Refined Copper,0,0,7.5,7.5
48698,"Huhaidar",15124,"Huhaidar",REE Alloy,0,0,16,16
48698,"Huhaidar",15124,"Huhaidar",Machinery,0,0,22,22
48698,"Huhaidar",15124,"Huhaidar",Alloys,0,0,34,34
48698,"Huhaidar",15124,"Huhaidar",Electronics,0,0,29,29
48698,"Huhaidar",15124,"Huhaidar",Spacecraft Components,0,0,140,140
48698,"Huhaidar",15124,"Huhaidar",Clean Water,0,0,3,3
48698,"Huhaidar",15124,"Huhaidar",Consumer Goods,0,0,12,12
48698,"Huhaidar",15124,"Huhaidar",Medical Supplies,0,0,14,14
48698,"Huhaidar",15124,"Huhaidar",Ordnance,0,0,43,43
48698,"Huhaidar",15124,"Huhaidar",Ceramics,0,14.28,33.9995,3.4
48698,"Huhaidar",15124,"Huhaidar",Dressed Stone,2.46343,16.8086,7.50542,2.9
48698,"Huhaidar",15124,"Huhaidar",Planks,0,17.85,42.9994,4.3
48698,"Huhaidar",15124,"Huhaidar",Tools,0,0,25.5,25.5
48698,"Huhaidar",15124,"Huhaidar",Hides,0.0523757,0,0.497208,1.87857
48698,"Huhaidar",15124,"Huhaidar",Fibre,2.92117,0,0.335969,1.3
48698,"Huhaidar",15124,"Huhaidar",Leather,0,10.71,71.999,7.2
48698,"Huhaidar",15124,"Huhaidar",Cloth,1.2,19.5051,14.9167,3.7
48698,"Huhaidar",15124,"Huhaidar",Rigging,0,0,14.5,14.5
48699,"Huhaidar",15124,"Huhaidar",Iron Ore,40.0025,0,0.625029,2.5
48699,"Huhaidar",15124,"Huhaidar",Coal,0,0,2,2
48699,"Huhaidar",15124,"Huhaidar",Petroleum,0,0,3.49996,3.5
48699,"Huhaidar",15124,"Huhaidar",Silica,0,0,2,2
48699,"Huhaidar",15124,"Huhaidar",Copper Ore,0,0,3,3
48699,"Huhaidar",15124,"Huhaidar",Rare Earth Ore,0,0,6,6
48699,"Huhaidar",15124,"Huhaidar",Agricultural Produce,2.52223,11.8103,6.49188,3
48699,"Huhaidar",15124,"Huhaidar",Water,0,5.85,14.9996,1.5
48699,"Huhaidar",15124,"Huhaidar",Iron-Nickel Ore,0,0,3,3
48699,"Huhaidar",15124,"Huhaidar",Platinum Group,0,0,40,40
48699,"Huhaidar",15124,"Huhaidar",Regolith,0,0,0.6,0.6
48699,"Huhaidar",15124,"Huhaidar",Stone,11.9924,0,0.250036,1
48699,"Huhaidar",15124,"Huhaidar",Timber,4.16701,18.0719,3.12382,1.5
48699,"Huhaidar",15124,"Huhaidar",Sand,0,0,1,1
48699,"Huhaidar",15124,"Huhaidar",Clay,0,0,1.21038,1.2
48699,"Huhaidar",15124,"Huhaidar",Peat,4.71378,8,1.56273,1.2
48699,"Huhaidar",15124,"Huhaidar",Tobacco,0,0,2.58534,2.58534
