market_id,market_label,body_name,resource,tick,price,supply,demand
30291,"Kumere","Kepler",Iron Ore,0,2.35562,601.499,470.575
30291,"Kumere","Kepler",Iron Ore,1,2.50135,440.195,493.51
30291,"Kumere","Kepler",Iron Ore,2,2.57421,455.008,470.372
30291,"Kumere","Kepler",Iron Ore,3,2.61064,445.481,459.691
30291,"Kumere","Kepler",Iron Ore,4,2.62886,440.897,454.552
30291,"Kumere","Kepler",Iron Ore,5,2.63796,438.506,452.03
30291,"Kumere","Kepler",Iron Ore,6,2.64252,437.131,450.781
30291,"Kumere","Kepler",Iron Ore,7,2.64479,436.828,450.16
30291,"Kumere","Kepler",Iron Ore,8,2.64593,435.914,449.85
30291,"Kumere","Kepler",Iron Ore,9,2.6465,436.565,449.695
30291,"Kumere","Kepler",Iron Ore,10,2.64679,435.304,449.617
30291,"Kumere","Kepler",Iron Ore,11,2.64693,436.461,449.579
30291,"Kumere","Kepler",Iron Ore,12,2.647,435.227,449.559
30291,"Kumere","Kepler",Iron Ore,13,2.64704,436.435,449.55
30291,"Kumere","Kepler",Iron Ore,14,2.64705,435.208,449.545
30291,"Kumere","Kepler",Iron Ore,15,2.64706,436.429,449.542
30291,"Kumere","Kepler",Petroleum,0,3.49869,403.955,403.35
30291,"Kumere","Kepler",Petroleum,1,4.02381,238.853,403.471
30291,"Kumere","Kepler",Petroleum,2,4.28637,213.572,360.767
30291,"Kumere","Kepler",Petroleum,3,4.41765,203.041,342.977
30291,"Kumere","Kepler",Petroleum,4,4.48329,198.199,334.799
30291,"Kumere","Kepler",Petroleum,5,4.51611,195.874,330.871
30291,"Kumere","Kepler",Petroleum,6,4.53252,194.735,328.946
30291,"Kumere","Kepler",Petroleum,7,4.54072,194.17,327.993
30291,"Kumere","Kepler",Petroleum,8,4.54482,193.89,327.519
30291,"Kumere","Kepler",Petroleum,9,4.54688,193.75,327.283
30291,"Kumere","Kepler",Petroleum,10,4.5479,193.68,327.164
30291,"Kumere","Kepler",Petroleum,11,4.54841,193.645,327.105
30291,"Kumere","Kepler",Petroleum,12,4.54867,193.627,327.076
30291,"Kumere","Kepler",Petroleum,13,4.5488,193.619,327.061
30291,"Kumere","Kepler",Petroleum,14,4.54886,193.614,327.054
30291,"Kumere","Kepler",Petroleum,15,4.54889,193.612,327.05
30291,"Kumere","Kepler",Agricultural Produce,0,2.56121,1477.42,739.475
30291,"Kumere","Kepler",Agricultural Produce,1,2.44108,1402.09,839.198
30291,"Kumere","Kepler",Agricultural Produce,2,2.39124,1431.68,872.078
30291,"Kumere","Kepler",Agricultural Produce,3,2.37067,1444.74,886.589
30291,"Kumere","Kepler",Agricultural Produce,4,2.3622,1450.28,892.737
30291,"Kumere","Kepler",Agricultural Produce,5,2.35872,1452.58,895.297
30291,"Kumere","Kepler",Agricultural Produce,6,2.35729,1453.53,896.354
30291,"Kumere","Kepler",Agricultural Produce,7,2.3567,1453.93,896.79
30291,"Kumere","Kepler",Agricultural Produce,8,2.35646,1454.09,896.969
30291,"Kumere","Kepler",Agricultural Produce,9,2.35636,1454.15,897.043
30291,"Kumere","Kepler",Agricultural Produce,10,2.35632,1454.18,897.073
30291,"Kumere","Kepler",Agricultural Produce,11,2.3563,1454.19,897.085
